CustomerID,TotalPurchaseAmount,NumberOfPurchases,AveragePurchaseValue,ClusterID,CustomerSegment
C10001,506.89,5,101.38,2,Regular Customers
C10002,30.67,1,30.67,1,Low-Value Customers
C10003,142.81,4,35.7,1,Low-Value Customers
C10004,24.08,1,24.08,1,Low-Value Customers
C10005,402.55,5,80.51,2,Regular Customers
C10006,425.08,5,85.02,2,Regular Customers
C10007,100.25,3,33.42,1,Low-Value Customers
C10008,86.35,4,21.59,1,Low-Value Customers
C10009,18.33,1,18.33,1,Low-Value Customers
C10010,112.2,4,28.05,1,Low-Value Customers
C10011,578.43,10,57.84,2,Regular Customers
C10012,101.68,3,33.89,1,Low-Value Customers
C10013,976.05,9,108.45,2,Regular Customers
C10014,65.47,3,21.82,1,Low-Value Customers
C10015,8297.1,27,307.3,0,High-Value Customers
C10016,2202.88,13,169.45,2,Regular Customers
C10017,6046.87,18,335.94,0,High-Value Customers
C10018,63.07,3,21.02,1,Low-Value Customers
C10019,19.04,1,19.04,1,Low-Value Customers
C10020,3106.66,12,258.89,0,High-Value Customers
C10021,91.89,3,30.63,1,Low-Value Customers
C10022,2011.92,11,182.9,2,Regular Customers
C10023,115.73,3,38.58,1,Low-Value Customers
C10024,1220.18,11,110.93,2,Regular Customers
C10025,570.7,8,71.34,2,Regular Customers
C10026,3123.65,18,173.54,0,High-Value Customers
C10027,6361.51,28,227.2,0,High-Value Customers
C10028,6530.64,24,272.11,0,High-Value Customers
C10029,621.15,8,77.64,2,Regular Customers
C10030,756.4,7,108.06,2,Regular Customers
C10031,4517.32,17,265.72,0,High-Value Customers
C10032,596.54,6,99.42,2,Regular Customers
C10033,7193.09,24,299.71,0,High-Value Customers
C10034,41.43,2,20.72,1,Low-Value Customers
C10035,83.35,3,27.78,1,Low-Value Customers
C10036,460.89,7,65.84,2,Regular Customers
C10037,35.73,1,35.73,1,Low-Value Customers
C10038,728.84,12,60.74,2,Regular Customers
C10039,789.65,8,98.71,2,Regular Customers
C10040,64.61,2,32.3,1,Low-Value Customers
C10041,21.21,1,21.21,1,Low-Value Customers
C10042,519.32,6,86.55,2,Regular Customers
C10043,94.9,3,31.63,1,Low-Value Customers
C10044,76.92,3,25.64,1,Low-Value Customers
C10045,303.07,5,60.61,1,Low-Value Customers
C10046,989.29,12,82.44,2,Regular Customers
C10047,163.46,4,40.86,1,Low-Value Customers
C10048,157.2,4,39.3,1,Low-Value Customers
C10049,5146.4,17,302.73,0,High-Value Customers
C10050,164.37,4,41.09,1,Low-Value Customers
C10051,4548.97,17,267.59,0,High-Value Customers
C10052,114.81,3,38.27,1,Low-Value Customers
C10053,23.7,1,23.7,1,Low-Value Customers
C10054,3297.1,12,274.76,0,High-Value Customers
C10055,52.66,2,26.33,1,Low-Value Customers
C10056,1187.61,12,98.97,2,Regular Customers
C10057,42.16,1,42.16,1,Low-Value Customers
C10058,4303.53,17,253.15,0,High-Value Customers
C10059,23.06,1,23.06,1,Low-Value Customers
C10060,7769.17,22,353.14,0,High-Value Customers
C10061,964.38,11,87.67,2,Regular Customers
C10062,264.78,5,52.96,1,Low-Value Customers
