TransactionID,CustomerID,TransactionDate,TransactionAmount,ProductCategory
T100611,C10085,2026-05-14,71.54,Clothing
T101891,C10290,2026-04-08,53.94,Electronics
T101419,C10223,2026-01-01,34.15,Books
T104414,C10679,2026-02-26,91.22,Clothing
T105826,C10883,2025-08-22,75.34,Clothing
T105838,C10887,2025-11-05,25.31,Clothing
T106199,C10942,2025-07-27,18.43,Groceries
T104922,C10761,2025-07-13,24.17,Electronics
T104332,C10661,2026-02-09,107.54,Beauty & Personal Care
T101695,C10263,2025-08-30,128.88,Books
T100544,C10075,2026-01-19,17.1,Clothing
T103226,C10494,2025-11-24,24.15,Beauty & Personal Care
T103855,C10589,2026-03-12,99.45,Clothing
T102486,C10380,2026-01-29,47.88,Home & Kitchen
T102932,C10453,2025-09-11,92.74,Clothing
T104914,C10759,2025-12-19,38.44,Books
T101225,C10191,2025-07-01,69.98,Books
T106341,C10964,2025-10-06,84.69,Groceries
T104899,C10757,2025-07-10,265.34,Electronics
T100393,C10050,2025-11-12,50.12,Beauty & Personal Care
T105738,C10872,2025-06-22,58.93,Electronics
T100511,C10067,2026-01-14,29.46,Electronics
T103307,C10507,2025-10-25,33.06,Electronics
T102874,C10442,2026-02-22,34.68,Groceries
T105220,C10798,2026-04-21,267.66,Groceries
T101963,C10301,2026-03-12,346.96,Clothing
T101335,C10213,2025-06-29,234.29,Groceries
T104881,C10756,2025-06-26,49.24,Home & Kitchen
T106533,C10994,2025-11-19,108.33,Electronics
T101090,C10162,2026-01-07,43.61,Electronics
T105198,C10796,2026-03-20,65.02,Books
T102346,C10356,2026-02-01,34.34,Books
T106096,C10923,2025-07-25,117.59,Beauty & Personal Care
T104597,C10705,2026-05-24,91.96,Clothing
T105297,C10810,2025-11-30,288.57,Home & Kitchen
T100324,C10038,2025-12-31,41.06,Groceries
T101002,C10149,2025-12-21,351.14,Electronics
T102718,C10419,2025-10-25,307.41,Electronics
T105153,C10789,2025-11-30,17.72,Clothing
T100604,C10084,2026-05-29,18.24,Clothing
T101354,C10214,2025-08-12,73.88,Groceries
T104740,C10731,2026-02-15,314.84,Clothing
T101362,C10215,2026-03-15,277.32,Groceries
T105993,C10909,2026-01-30,38.24,Groceries
T102851,C10436,2026-01-06,95.73,Electronics
T101514,C10235,2025-11-19,105.58,Groceries
T105930,C10898,2025-06-26,73.36,Groceries
T101835,C10283,2025-09-01,95.94,Home & Kitchen
T103483,C10536,2025-12-23,207.77,Groceries
T105429,C10831,2025-11-09,15.95,Books
T106138,C10927,2026-03-25,84.19,Clothing
T103154,C10484,2025-07-02,152.13,Home & Kitchen
T100263,C10031,2025-08-23,232.31,Books
T100247,C10030,2025-12-12,92.21,Clothing
T102741,C10422,2025-07-18,311.99,Clothing
T104679,C10723,2025-12-28,107.63,Groceries
T100465,C10060,2025-12-13,332.73,Beauty & Personal Care
T103113,C10480,2025-09-02,14.34,Beauty & Personal Care
T103757,C10575,2026-02-22,124.69,Beauty & Personal Care
T100681,C10101,2025-09-02,41.07,Beauty & Personal Care
T106118,C10925,2026-02-10,62.08,Clothing
T103803,C10579,2026-02-09,102.62,Clothing
T103935,C10602,2025-08-27,273.56,Clothing
T104034,C10612,2026-05-22,220.91,Electronics
T105495,C10844,2025-12-15,75.74,Groceries
T101483,C10230,2026-05-16,251.53,Electronics
T101611,C10250,2025-12-15,234.27,Electronics
T100096,C10016,2025-12-23,186.32,Books
T105462,C10838,2026-02-21,25.69,Books
T100132,C10021,2025-11-23,27.83,Clothing
T104372,C10669,2025-07-08,57.52,Clothing
T100811,C10122,2026-03-26,86.69,Home & Kitchen
T102972,C10460,2025-12-14,15.75,Clothing
T103221,C10493,2025-06-05,65.05,Beauty & Personal Care
T103739,C10572,2026-04-09,52.03,Electronics
T101371,C10215,2026-04-05,356.93,Clothing
T103708,C10566,2026-03-28,301.08,Clothing
T104676,C10723,2025-10-15,114.25,Clothing
T103516,C10540,2025-09-16,36.99,Home & Kitchen
T100491,C10061,2026-01-19,111.49,Electronics
T100534,C10074,2026-04-15,88.66,Groceries
T100957,C10145,2025-06-08,69.38,Clothing
T105075,C10777,2025-12-08,290.12,Home & Kitchen
T100469,C10060,2026-03-15,314.99,Clothing
T105407,C10827,2026-02-28,114.66,Electronics
T104031,C10612,2026-05-23,190.56,Books
T104105,C10622,2025-07-27,83.16,Clothing
T106190,C10941,2026-02-15,275.5,Clothing
T102183,C10330,2025-11-12,104.26,Clothing
T103402,C10522,2025-07-19,355.61,Groceries
T102155,C10328,2025-11-19,234.88,Clothing
T102855,C10436,2026-05-12,75.54,Home & Kitchen
T105452,C10836,2026-04-26,133.26,Beauty & Personal Care
T100031,C10010,2026-03-15,36.13,Home & Kitchen
T101620,C10251,2025-12-24,44.67,Beauty & Personal Care
T101941,C10298,2025-11-09,235.23,Home & Kitchen
T105260,C10803,2025-12-21,95.1,Beauty & Personal Care
T103176,C10484,2025-08-20,130.72,Groceries
T101397,C10217,2026-05-27,36.63,Electronics
T102629,C10404,2025-09-29,230.55,Groceries
T101569,C10248,2025-08-16,196.36,Books
T104184,C10638,2025-08-16,34.38,Electronics
T103167,C10484,2026-05-03,211.96,Home & Kitchen
T100625,C10086,2025-06-10,60.95,Clothing
T101426,C10224,2026-01-16,115.21,Electronics
T101487,C10230,2025-11-04,183.47,Groceries
T104839,C10750,2025-10-04,187.65,Electronics
T103264,C10499,2025-08-06,101.32,Books
T104348,C10666,2026-05-21,13.74,Books
T104856,C10750,2025-09-27,263.87,Beauty & Personal Care
T106059,C10920,2026-05-09,60.13,Groceries
T105156,C10790,2025-12-20,31.62,Clothing
T101330,C10213,2026-01-28,327.68,Home & Kitchen
T102366,C10360,2025-09-12,53.21,Books
T102789,C10430,2026-04-18,224.14,Electronics
